	ANY	DATA_APROVACIO	DESCRIPCIO	NOM_CURT	NOM_OFICIAL	NOM_P	SEXE_P
22	1960.0	05/07/1960	Adrià Gual i Queralt (Barcelona, 1872 - 1943). Autor dramàtic, director d'escena, pintor i pedagog. Fundà el Teatre Íntim. Fou director de l'Escola Catalana d'Art Dramàtic i director artístic de la productora Barcinógrafo (1913). Les seves memòries, Mitja vida de teatre (1960), editades pòstumament, són un document de gran importància. Com a pintor, se centrà en un estil modernista típicament esteticista. Finalment, dedicà el seu esforç a l'escenografia d'obres muntades per ell mateix.	Av Adrià Gual	Avinguda d'Adrià Gual	Adrià	M
23	1943.0	20/07/1943	Adrià Margarit i Coll (1851 - 1908). Notari. Cofundador, amb el doctor Andreu, de la Societat Urbanitzadora del Tibidabo.	Adrià Margarit	Carrer d'Adrià Margarit	Adrià	M
24	1913.0	05/11/1913	Publi Eli Adrià (Itàlica, 76 - Baiae, 138). Emperador romà. Filòsof i home d'acció que destacà com a constructor. Aixecà quatre ciutats i construí importants edificis per tot l'Imperi; entre d'altres, la vil·la de Tívoli, el Panteó i el mausoleu d'Adrià, anomenat castell de Sant Angelo a partir del segle VII.	Pl Adrià	Plaça d'Adrià	Publi	i
30	2009.0	22/04/2009	Anna Maria Martínez Sagi (Barcelona, 1907 - Santpedor, 2000). Poeta, periodista i esportista. L'any 1927 va començar a col·laborar a la revista Mujeres, on va publicar el seu primer llibre de poemes, Caminos, el 1929. Va publicar els seus articles a les revistes i periòdics Imatges, Lectura, La Rambla i El Tiempo de Bogotà. Fou membre de la Junta del Club Femení i d'Esports i de la directiva del Futbol Club Barcelona. Va ser la primera dona directiva d'un club de futbol, a Espanya. L'any 1932 publicà el seu segon llibre de poemes, Inquietud. Exiliada a França s'instal·là a París, on va fer de  dibuixant i pintora de carrer i va treballar com a assessora editorial, feina amb què va contribuir a la descoberta de Françoise Sagan. Va fer de professora de castellà a l'escriptor André Maurois. Emigrà als Estats Units on va continuar escrivint la seva obra poètica. En tornar a Espanya, el 1969, va publicar Laberinto de presencias, una recopilació de l'obra escrita durant aquells anys d'exili.	Anna Martínez Sagi	Carrer d'Anna M. Martínez Sagi	Anna	F
37	1929.0	19/11/1929	Josep d'Aguilar i d'Alòs (segle XVII - XVIII). Polític i militar que participà en la defensa de Barcelona (1705, 1706 i 1714). L'any 1912 es va aprovar la urbanització de la finca Casa Pujol, propietat de Maria Montserrat de Casanovas i de Fargas, i es posà el nom d'Àliga al carrer projectat, situat en el punt més alt del turó que dominava la urbanització. Posteriorment, l'any 1929, per duplicitat amb un carrer d'Hostafrancs, es decidí canviar el nom per Aguilar, per semblança amb l'anterior, que feia referència a un títol del marquès de Monistrol. Aquesta denominació no tenia relació directa amb els terrenys, per la qual cosa, el 1980, es dedicà el carrer a Josep d'Aguilar i d'Alòs.	Aguilar	Carrer d'Aguilar	Josep	M
40	1978.0	22/05/1978	Agustí Duran i Sanpere (Cervera, 1887 - Barcelona, 1975). Historiador, arxiver i arqueòleg. Llicenciat en lletres i doctor en dret. Des de 1912 col·laborà amb el Servei d'Investigacions Arqueològiques. El 1917 s'incorporà i organitzà l'Arxiu Municipal, l'Oficina d'Investigacions i Publicacions, i l'Arxiu Històric de la Ciutat. Dirigí fins al 1957 l'Institut d'Història de Barcelona. Membre de l'Acadèmia de Bones Lletres (1924) ?que presidí entre 1961 i 1963?, de l'Institut d'Estudis Catalans (1942) i de l'Acadèmia de Belles Arts de Sant Jordi (1968). Fou l'organitzador del Museu Etnològic de Cervera.	A Duran i Sanpere	Carrer d'Agustí Duran i Sanpere	Agustí	i
41	1907.0	05/09/1907	Jaume Agustí i Milà (Barcelona, 1817 - 1905). Batxiller en filosofia i lletres, i doctor en teologia i jurisprudència. Assolí alts càrrecs a Puerto Rico, però després del desastre colonial tornà a Barcelona. Contribuí a la restauració de l'església de Sant Andreu, que s'havia enderrocat per defectes de construcció.	Agustí i Milà	Carrer d'Agustí i Milà	Jaume	M
42	1947.0	19/08/1947	Agustina Raimunda Maria Saragossa i Domènec (Barcelona, 1768 - Ceuta, 1857). Heroïna de la guerra del Francès.	Agustina Saragossa	Carrer d'Agustina Saragossa	Agustina	F
43	1953.0	30/12/1953	Cala de la Costa Brava, al municipi de Begur (Baix Empordà). Dominada a ponent per la muntanya de ses Falugues. Carrer del barri de la Trinitat Nova on hi ha diversos carrers dedicats a la Costa Brava.	Aiguablava	Carrer d'Aiguablava	Cala	i
52	1921.0	21/12/1921	Albert de Sicília Llanas i Castells (Barcelona, 1841 - 1915). Autor teatral i figura representativa de la bohèmia de finals de segle. Publicà diverses comèdies de costums de gran èxit i adaptà al català obres de Moratín, Calderón de la Barca i Shakespeare. Titular de la cooperativa de periodistes que construí l'agrupació urbana on es troba aquest carrer.	Albert Llanas	Carrer d'Albert Llanas	Albert	M
56	1943.0	19/01/1943	Darius Rumeu i Freixa (Barcelona, 1886 - 1970). Segon baró de Viver, gran d'Espanya, polític i financer. Líder dels monàrquics liberals catalans. Alcalde de Barcelona (1925 - 1929). El nom fou donat a la plaça perquè també concebé la urbanització del final de la Diagonal.	Pl Alc Baró Viver	Plaça de l'Alcalde Baró de Viver	Darius	M
57	1952.0	25/01/1952	Ramon Miralles i Vilalta (Sarrià, 1841 - 1909). Alcalde de la vila de Sarrià de 1878 a 1902. Nomenat fill adoptiu de Sarrià perquè va aconseguir la independència administrativa de Barcelona. Va establir l'actual Consell del Districte, on es va crear l'Arxiu Municipal.	Alcalde Miralles	Carrer de l'Alcalde Miralles	Ramon	M
58	1942.0	07/07/1942	Andrés Torrejón (Móstoles, 1736 - 1812). Pagès que fou alcalde juntament amb Simón Hernández. En arribar les notícies del Dos de Maig de 1808, el fiscal del Consell de Guerra, Juan Pérez Villamil, que es trobava en aquell moment a Móstoles, redactà una proclama incitant el poble a aixecar-se en armes i socórrer Madrid. Els dos alcaldes signaren el ban, que es va estendre ben aviat per Extremadura i Andalusia.	Alcalde Móstoles	Carrer de l'Alcalde de Móstoles	Andrés	M
60	1960.0	27/07/1960	Ciutat d'Itàlia, província de Trapani (Sicília). Carrer del barri del Besòs, on diversos carrers són dedicats a poblacions italianes.	Alcamo	Carrer d'Alcamo	Ciutat	i
63	1982.0	28/07/1982	Antoni de Martí i Franquès (Altafulla, 1750 - Tarragona, 1832). Científic. Noble de la casa pairal d'Ardenya, a Altafulla. Membre de l'Acadèmia de Ciències Naturals i Arts de Barcelona (1786). L'Institut d'Estudis Catalans instituí un premi que duu el seu nom.	Martí i Franquès	Carrer de Martí i Franquès	Antoni	M
68	1865.0	04/04/1865	Joan Aldana (Tortosa, segles XV - XVI). Militar al servei de Ferran II de Catalunya-Aragó i de Carles V. A Pavia (1525), féu personalment presoner el rei de França Francesc I.	Aldana	Carrer d'Aldana	Joan	M
76	1939.0	07/03/1939	Alfons XII (Madrid, 1857 - 1885). Rei d'Espanya. S'hagué d'exiliar a França a causa de la Revolució de Setembre de 1868. Després del cop d'estat de Sagunt (desembre de 1874), enderrocà la República i es proclamà rei. Durant el seu regnat posà fi a la guerra carlina (1876) i a la insurrecció cubana (1878), i fou promulgada una nova constitució (1876), molt més moderada que la del 1869. Fill d'Isabel II i de Francesc d'Assís de Borbó.	Alfons XII	Carrer d'Alfons XII	Alfons	M
77	1993.0	26/02/1993	Antoni Cebrià Costa i Cuxart (València, 1817 - Barcelona, 1886). Botànic. Catedràtic de botànica a la Universitat de Barcelona (1847).	Costa i Cuxart	Carrer de Costa i Cuxart	Antoni	M
78	1960.0	27/07/1960	Alfons IV de Catalunya, el Magnànim (?, 1396 - Nàpols, 1458). Rei de Catalunya i Aragó (1418 - 1458) i de Nàpols (1442 - 1458). Regnà durant quaranta anys i en passà vint-i-vuit entre guerres i festes a Nàpols. La conquesta d'aquesta ciutat assegurà el Regne de les Dues Sicílies. Fill de Ferran I i d'Elionor d'Alburquerque.	Alfons el Magnànim	Carrer d'Alfons el Magnànim	Alfons	M
79	1959.0	27/05/1959	Alfons X el Savi (Toledo, 1221 - Sevilla, 1284). Rei de Castella. Estimulà, dirigí i corregí personalment els treballs literaris d'un nombrós grup de col·laboradors àrabs, hebreus i cristians, i donà un impuls definitiu a la prosa castellana. L'obra jurídica d'Alfons X suposà una fita en l'evolució de l'antic dret castellà. Fill de Ferran III i de Beatriu, filla de Felip, duc de Suàbia. Gendre de Jaume I de Catalunya-Aragó.	Pl Alfons el Savi	Plaça d'Alfons el Savi	Alfons	M
80	1939.0	07/03/1939	Regió sud de Portugal (Alt i Baix Algarve). El nom fou atorgat al carrer per tractar-se d'un títol del rei d'Espanya.	Algarves	Carrer dels Algarves	Regió	i
83	1942.0	07/07/1942	Illes Alhucemas. Conjunt de tres illots (penyal d'Alhucemas, illa de Terra i illa de Mar). Aquest carrer fou aprovat conjuntament amb el de Chafarinas. Ciutat a la badia d'Alhucemas. També recorda l'acció de guerra de les tropes espanyoles al Marroc: desembarcament realitzat el 8 de setembre de 1925 dirigit pel general Primo de Rivera, per assegurar la fortalesa d'aquest nom.	Alhucemas	Carrer d'Alhucemas	Illes	i
84	1863.0	19/12/1863	Domènec Badia i Leblich (Barcelona, 1767 - Damasc, 1818). Viatger i escriptor. Explorador al servei del Govern de Carles IV. Amb el nom àrab d'Alí Bei-el-Abbasí i fent-se passar per descendent del profeta, recorregué el Marroc i altres reialmes preparant projectes de penetració i escrivint els relats dels seus viatges i aventures. La invasió francesa provocà que no pogués dur a terme la seva missió. Al servei del rei Josep fou nomenat governador de Segòvia. Com a afrancesat, hagué d'emigrar.	Alí Bei	Carrer d'Alí Bei	Domènec	i
87	1929.0	19/11/1929	Iacopo Alighieri di Manetto (Florència, 1291 - 1348). Poeta. És autor del primer resum, en tercets, de La Divina Comèdia (1322). Acompanyà el seu pare, Dante, a l'exili fins al 1325, any en què retornà a Florència. Com que el carrer era a prop del de Dante, se l'anomenà d'Alighieri, tot pensant en el mateix personatge.	Alighieri	Carrer d'Alighieri	Iacopo	M
88	1922.0	29/03/1922	Francesc Alió i Brea (Barcelona, 1862 - 1908). Compositor. Fou un dels iniciadors del renaixement musical català. Aquest passatge, situat en l'antic paratge de Caputxins vells de Gràcia, fou propietat de Romà de Grassot i Elías, raó per la qual s'anomenava passatge Román fins que se substituí pel d'Alió.	Ptge Alió	Passatge d'Alió	Francesc	M
90	1955.0	31/10/1955	Diego de Almagro (Almagro, 1475 - Cusco, 1538). Militar i conqueridor del Perú i Xile.	Almagro	Carrer d'Almagro	Diego	M
98	1927.0	16/08/1927	Rafael Aixada (Sant Feliu de Guíxols, segle XVI). Tinent general de les galeres de l'emperador Carles I. La seva actuació a l'Alguer fou admirable, ja que salvà el rei després de la derrota de les tropes espanyoles el 13 d'octubre de 1541.	Almirall Aixada	Carrer de l'Almirall Aixada	Rafael	M
99	1947.0	19/08/1947	Antoni Barceló i Pont de la Terra (Palma de Mallorca, 1716 - 1797). Tinent general de l'Armada. Les gestes més notables foren: la derrota naval del pirata Selim (1763); les accions contra Alger (1755 i 1783); els bloquejos navals de Gibraltar (1779 i 1781), i l'expedició marítima de 1783 contra el sultà del Marroc, a qui obligà a aixecar el setge de Ceuta.	Almirall Barceló	Carrer de l'Almirall Barceló	Antoni	M
100	1942.0	07/07/1942	Pascual Cervera y Topete (San Fernando, 1839 - Puerto Real, 1909). Marí. Contraalmirall en esclatar la guerra contra els Estats Units (1898). Fou nomenat cap de l'esquadra de Cuba.	Almirall Cervera	Carrer de l'Almirall Cervera	Pascual	M
102	1929.0	19/11/1929	Olf de Pròixida (segle XIV). Noble valencià, militar i marí, provinent de la família siciliana Pròcida.	Almirall Pròixida	Carrer de l'Almirall Pròixida	Olf	M
103	1942.0	07/07/1942	Cosme Damián Churruca y Elorza (Mutriku, 1761 - batalla de Trafalgar, 1805). Militar i cartògraf. Participà en el setge de Gibraltar (1781 - 1783); emprengué diverses expedicions marítimes i n'escriví interessants relats tècnics i geogràfics, i col·laborà en la realització de l'atles marítim d'Amèrica del Sud.	Almirall Churruca	Carrer de l'Almirall Churruca	Cosme	M
105	1959.0	28/01/1959	Alonso Cano (Granada, 1601 - 1667). Escultor, pintor i arquitecte barroc. El 1638 es traslladà a Madrid, on rebé la influència de la pintura veneciana de les col·leccions reials.	Alonso Cano	Carrer d'Alonso Cano	Alonso	M
122	1955.0	31/10/1955	Pedro de Alvarado (Badajoz, 1485 - Mèxic, 1541). Conqueridor i capità d'Hernán Cortés. Sotmeté la zona de Guatemala i El Salvador (1523 - 1524), i li fou concedida la governació de Guatemala. Morí en un combat de repressió dels habitants de Jalisco.	Alvarado	Carrer d'Alvarado	Pedro	M
126	1940.0	09/04/1940	Amadeu Vives i Roig (Collbató, 1871 - Madrid, 1932). Compositor. Autor de L'emigrant (1890). Cofundador de l'Orfeó Català.	Amadeu Vives	Carrer d'Amadeu Vives	Amadeu	M
133	1907.0	05/09/1907	Eduard Amigó de Lara (Barcelona, 1833 - Buenos Aires, 1902). Pianista i compositor. Cèlebre concertista d'harmònium, premiat al Conservatori de París l'any 1865.	Amigó	Carrer d'Amigó	Eduard	M
135	1907.0	05/09/1907	Amílcar Barca (Cartago, ? - Elx, 228 aC). General cartaginès. Era el pare d'Anníbal. Es creia que fou el fundador de Barcelona, la qual cosa és improbable. A partir del seu nom de família o lloc d'origen s'ha volgut treure el de Bàrcino, ja que l'ètim d'ambdós noms sembla que té un origen comú.	Amílcar	Carrer d'Amílcar	Amílcar	M
138	1982.0	26/03/1982	Joan Obiols i Vié (Granollers, 1919 - Barcelona, 1980). Metge psiquiatre.	Joan Obiols	Carrer de Joan Obiols	Joan	M
143	1979.0	20/12/1979	Anna Rúbies i Monjonell (el Port de la Selva, 1881 - Barcelona, 1963). Pedagoga. Fou directora del Grup Ramon Llull i del Patronat Escolar de l'Ajuntament de Barcelona. Introduí el mètode Decroly a Catalunya. Fou membre del Consell de Cultura de la Generalitat, col·laborà en les escoles d'estiu i en tota manifestació que representés una renovació en la pedagogia.	Pg Anna Rúbies	Passeig d'Anna Rúbies	Anna	F
148	1929.0	19/11/1929	Juan Gil de Andrade. Comandant de divisió naval. Prengué part en la batalla de Lepant i Joan d'Àustria el nomenà governador de la Galera Reial, la galera capitana. En el nomenclàtor de 1980 es va canviar la dedicació a favor de Domingo Antonio de Andrade (Cée, 1639 - Santiago de Compostel·la, 1712). Arquitecte i entallador.	Andrade	Carrer d'Andrade	Juan	M
150	1929.0	19/11/1929	Giovanni Andrea Doria (Gènova, 1539 - 1606). Segon príncep de Melfi i almirall al servei dels virreis de Nàpols i Sicília. Prengué part en la batalla de Lepant (1571) com a comandant de divisió naval sota les ordres de Joan d'Àustria.	Andrea Doria	Carrer d'Andrea Doria	Giovanni	M
151	1960.0	27/07/1960	Andreu Febrer (Vic, 1389 - 1440). Poeta de la cort d'Alfons V el Magnànim. El 1398 prengué part en la croada contra Barbaria. El 1418 Alfons el Magnàmin el nomenà senyor del castell d'Ursino de Catània (Sicília). Entre els anys 1429 i 1437 fou atestat a Barcelona.	Andreu Febrer	Carrer d'Andreu Febrer	Andreu	M
152	1922.0	29/03/1922	Francesc Andreví (Sanaüja, 1786 - Barcelona, 1853). Compositor. Mestre de capella de Santa Maria del Mar entre el 1814 i el 1819; de les catedrals de Sogorb, València i Sevilla; de la capella reial de Madrid; de la catedral de Bordeus (1836), i de la de París (1845). En tornar a Barcelona, fou mestre de capella de la Mercè. El nom anterior del passatge corresponia a Andreu Martí i Milà, propietari dels terrenys.	Ptge Andreví	Passatge d'Andreví	Francesc	M
154	1954.0	17/11/1954	Pic d'Aneto. Cim culminant dels Pirineus (3.404 metres). L'aprovació del nom fou feta conjuntament amb altres cims importants: Beret, Cadí, Teide, Canfranc, Montmajor, etc. (barriada del Turó de la Peira).	Aneto	Carrer d'Aneto	Pic	i
158	1919.0	07/03/1919	Àngel Josep Baixeras (Barcelona, 1834 - 1892). L'any 1878 presentà al Senat un projecte de llei per a la reforma interior de les grans ciutats. El 1879, col·laborà en la redacció de la Llei d'expropiació forçosa. Presentà un pla de reforma interior que afectava bona part del nucli antic de Barcelona i que fou aprovat el 1881.	Àngel J. Baixeras	Carrer d'Àngel J. Baixeras	Àngel	M
160	1959.0	29/04/1959	Àngel Marquès i Batllevell (Falset, 1887 - Barcelona, 1958). Escriptor proselitista catòlic.	Àngel Marquès	Carrer d'Àngel Marquès	Àngel	M
161	1980.0	09/05/1980	Àngel Pestaña i Núñez (Santo Tomás de las Ollas, 1886 - Barcelona, 1937). Dirigent anarcosindicalista. Dirigí Solidaritat Obrera (1918 - 1919); constituí la Federació Sindicalista Llibertària (1933), i dirigí el diari Mañana, òrgan de la Federació del Partit Sindicalista a Catalunya.	Pl Àngel Pestaña	Plaça d'Àngel Pestaña	Àngel	M
164	1962.0	19/03/1962	Pel convent de religioses de l'orde de sant Domènec, anomenat de la Mare de Déu dels Àngels (segle XVI). L'església fou consagrada el 13 de gener de 1566.	Pl Àngels	Plaça dels Àngels	Pel	i
165	1907.0	05/09/1907	Per un antic llinatge. En destacà Ramon d'Anglesola, baró de Bellpuig i vescomte de Vilamur (vescomte Ramon II de Vilamur). Camí obert l'any 1856 per comunicar les Corts amb la nova via de Sarrià.	Anglesola	Carrer d'Anglesola	Per	M
169	1984.0	27/01/1984	Anselm Turmeda (Palma de Mallorca, 1352/55 - Tunis, 1423). Escriptor franciscà que abjurà el catolicisme i es convertí a l'islam. Escriví el Llibre de bons amonestaments sota el nom de Fra Anselm. Els seus llibres tingueren una gran difusió en els països de parla catalana.	Anisadeta	Carrer de l'Anisadeta	Anselm	M
171	1968.0	14/02/1968	Antoni de Bofarull i de Brocà (Reus, 1821 - Barcelona, 1892). Historiador, poeta, novel·lista i dramaturg.	Antequera	Carrer d'Antequera	Antoni	M
178	1943.0	20/07/1943	Antoni de Capmany de Montpalau i de Surís (Barcelona, 1742 - Cadis, 1813). Historiador, filòleg i polític. Autor de les Memòries de la indústria i comerç de Barcelona al segle XVIII. Diputat a les Corts de Cadis.	Antilles	Carrer de les Antilles	Antoni	M
179	1929.0	19/11/1929	Antoni Costa (Sant Llorenç de Cerdans, 1767 - Fredericia, 1808). Militar. En esclatar la Revolució Francesa, 1789, es traslladà a Barcelona, on organitzà un batalló de voluntaris. El 1794 es naturalitzà espanyol i fou nomenat capità de la legió de la reina Maria Lluïsa. Més tard, lluità a Amèrica del Sud contra els anglesos. Tornà a Europa i anà a Pomerània amb les tropes espanyoles del marquès de la Romana. Vençut a Fredericia, se suïcidà.	Antoni de Capmany	Carrer d'Antoni de Capmany	Antoni	M
181	1883.0	22/05/1883	Antonio López y López de Lamadrid (Comillas, 1817 - Barcelona, 1883). Comerciant, navilier i banquer.  Posseïa el títol de marquès de Comillas.	Ptge Antoni Gassol	Passatge d'Antoni Gassol	Antonio	M
182	1927.0	25/01/1927	Antoni Maura i Montaner (Palma de Mallorca, 1853 - Torrelodones, 1925). Polític. Llicenciat en dret a Madrid (1881). Diputat liberal per Mallorca, president del Congrés dels Diputats (1886), president de la comissió de jurat (1887) i ministre d'Ultramar de desembre de 1892 a març de 1894. Organitzà la visita del rei Alfons XIII a Barcelona i a Mallorca. El 1923 condemnà la dictadura de Primo de Rivera i es pronuncià a favor d'una reforma constitucional.	Pl Antonio López	Plaça d'Antonio López	Antoni	M
183	1978.0	30/01/1978	Antonio Machado Ruiz (Sevilla, 1875 - Cotlliure, 1939). Poeta. Durant la Guerra Civil es refugià a València i a Barcelona. El gener de 1939 s'exilià a França. S'adscriví a la línia que ell anomenava poesia eterna i defensà una concepció de la poesia més intuïtiva que no pas intel·lectual.	Pl Antoni Maura	Plaça d'Antoni Maura	Antonio	M
184	1983.0	28/10/1983	Francesc de Bolòs i Germà (Olot, 1773 - 1844). Farmacèutic i naturalista. Membre corresponent de les acadèmies de Ciències i Arts, de Medicina i Cirurgia, i de Bones Lletres, de Barcelona.	Antonio Machado	Carrer d'Antonio Machado	Francesc	M
185	1929.0	19/11/1929	Antonio Ramón Ricardos y Carrillo de Albornoz (Barbastre, 1727 - Madrid, 1794). Capità general de Catalunya el 1793; comandà les forces que lluitaren contra França en la Guerra Gran. Envaí el Vallespir amb èxit i penetrà en el Conflent. La manca de visió del Govern de Carles IV, que no donà impuls a la campanya, limità les possibilitats d'èxit.	Francesc Bolòs	Carrer de Francesc Bolòs	Antonio	M
190	1907.0	05/09/1907	Jaume Arbós i Tor (Sant Hipòlit de Voltregà, 1824 - Barcelona, 1882). Químic. Inventor del gas Arbós. Patentà el primer gasogen d'aspiració i instal·là una fàbrica de gas a Mataró.	Arbeca	Carrer d'Arbeca	Jaume	M
216	1984.0	14/12/1984	L'animal. Inicialment, carrer de l'Esquirol, donat al carrer amb altres noms d'animals per les vies públiques de la barriada acabada de crear (1958). Substituït per l'actual (1984), per duplicitat amb el carrer del mateix nom de la ciutat vella.	Ardèvol	Carrer d'Ardèvol	L'animal.	i
225	1979.0	20/12/1979	Encarnación López Julves (Buenos Aires, 1895 - 1945). Ballarina. Juntament amb la seva germana Pilar i altres destacades ballarines, organitzà el Ballet Español, espectacle que representà arreu del món. En morir, el Govern espanyol la condecorà amb l'Orde d'Alfons X el Savi i d'Isabel la Catòlica.	Argentera	Carrer de l'Argentera	Encarnación	F
230	1863.0	19/12/1863	Bonaventura Carles Aribau i Farriols (Barcelona, 1798 - 1862). Escriptor, economista, taquígraf i polític.	Ptge Argullós	Passatge d'Argullós	Bonaventura	M
234	1929.0	19/11/1929	Maria del Pilar Martínez d'Arizala i de Sabater (Vilafranca, 1833 - Barcelona, 1891). Propietària de terrenys a Sants. Carrer situat, en part, en la finca Can Mangala i propietats dels Sentmenat.	Arítjols	Carrer dels Arítjols	Maria	F
237	1907.0	05/09/1907	Armengol o Ermengol (? - vers el 940). Fill primogènit de Sunyer I, tercer comte de Barcelona, que li donà el territori comtal d'Osona i li atorgà el títol de comte, feudatari de la sobirania del comte de Barcelona. Es diu que morí assassinat al camp de batalla.	Pl Armada	Plaça de l'Armada	Armengol	i
240	1907.0	05/09/1907	Arnau Vidal (Barcelona, segle XI). En ingressar el seu fill Pere, pels volts de 1054, com a canonge a la seu de Barcelona, donà a la dita seu les terres del lloc anomenat Vilapicina i l'església de Santa Eulàlia, la qual hi era establerta, en concepte de renda del canonicat. Els terrenys on es troba situat el carrer pertanyien a l'heretat Manso Costa, en el paratge anomenat la Claveguera i més tard la Quintana.	Arnau d'Oms	Carrer d'Arnau d'Oms	Arnau	M
241	1960.0	27/07/1960	Arnau Bargués (? - Barcelona, 1413). Mestre d'obres. Mestre major de la catedral (1397) i de la ciutat (1399): autor de l'antiga façana principal de l'Ajuntament al carrer de la Ciutat (1412).	Arnau	Carrer d'Arnau	Arnau	M
246	1907.0	05/09/1907	Arquímedes (Siracusa, 287 aC - 212 aC). Matemàtic i físic de la Magna Grècia. Defensà la seva ciutat nadiua del setge dels romans amb enginys de la seva invenció. Morí en l'assalt.	Aroles	Carrer de n'Aroles	Arquímedes	i
247	1980.0	27/06/1980	August Font i Carreras (Barcelona, 1845 - 1924). Arquitecte. Entre les seves obres, destaquen: l'edifici de la Caixa d'Estalvis; la façana de la catedral, en col·laboració amb Oriol Mestres; el Palau de Belles Arts a l'Exposició de 1888, i el cimbori de la catedral.	Arquímedes	Carrer d'Arquímedes	August	M
